"album"|"alt_genre"
"When Lust Evokes the Curse"|"Doom Metal"
"Stacking Smoke"|"Doom Metal"
"Altitude"|"Doom Metal"
"Cold Comfort"|"Doom Metal"
"My New Time"|"Doom Metal"
"Longing"|"Doom Metal"
"Mirror Reaper"|"Doom Metal"
"Four Phantoms"|"Doom Metal"
"Ñ?¥?¥?ÑøÑ«Ñ÷Ñæ"|"Doom Metal"
"Ñ?¥?ÑæÑ¬¥? Ñ?Ñø¥?¥?"|"Doom Metal"
"Ñ?Ñæ¥?Ñ«Ñó¥?¥?¥?"|"Doom Metal"
"Ñ½¥?ÑóÑ¨Ñó¥? Ñ§¥?ÑóÑýÑ÷..."|"Doom Metal"
"Ñ­Ñ«¥? ¥?ÑæÑýÑæ¥?Ñ«ÑóÑüÑó Ñ¬Ñó¥?¥?"|"Doom Metal"
"The World I've Lost"|"Rock"
"Without You"|"Rock"
"Stop My Heart"|"Rock"
"History of Hate"|"Extreme Metal"
"Beyond All Reason"|"Extreme Metal"
"Decay of Humanity"|"Extreme Metal"
"Theophania"|"Gothic Metal"
"Divine Revolution"|"Gothic Metal"
"Lymphatic Intoxication"|"Thrash Metal"
"The Crown of Winter"|"Gothic"
"Tears of Mortal Solitude"|"Gothic"
"Border of Misty Times"|"Death Metal"
"Unwanted Today"|"Death Metal"
"Blood On the Face"|"Death Metal"
"Helengard"|"Folk Black Metal"
"Howl's Moving Castle (Original Soundtrack)"|"Depressive Black Metal"
"Bloodlines"|"Depressive Black Metal"
"Full of Hell (Deluxe Version)"|"Depressive Black Metal"
"Deformity - EP"|"Metal"
"Damage Theory"|"Metal"
"Insane Mytheries to Demise"|"Metal"
"Non de Hac Terra"|"Symphonic Metal"
"Escapism"|"Death Metal"
"Perjury"|"Death Metal"
"Mahayuga"|"Black Metal"
"Durga Puja (Deluxe) - EP"|"Black Metal"
"Samudra"|"Black Metal"
"The Battle Begins"|"Black Metal"
"Musick Brings Injuries"|"Groove Metal"
"Autopsychosis"|"Groove Metal"
"Pirut"|"Doom Metal"
"Muistumia"|"Doom Metal"
"Sorni Nai"|"Doom Metal"
"Aava Tuulen Maa"|"Doom Metal"
"Kaiho"|"Doom Metal"
"Tiet„j„n Laulu"|"Doom Metal"
"Lore of Lies"|"Doom"
"Woodland Prattlers"|"Alternative Rock"
"Handmade Essence - EP"|"Alternative Rock"
"Vale"|"Death Metal"
"Upon the Shores of Inner Seas"|"Death Metal"
"Black Art"|"Death Metal"
"Through the Millenniums"|"Deathcore"
"Element of Chaos"|"Brutal Death Metal"
"Meaning of Life"|"Metalcore"
"Escape from Yourself"|"Metalcore"
"Memorial to Suffering - Single"|"Death Metal"
"Weird Things - EP"|"Sludge Metal"
"The Labyrinth of Penumbra"|"Death Metal"
"Non-Existence"|"Death Metal"
"Tiny Deaths"|"Doom"
"Jabberworks"|"Doom"
"Requiem Aeternam - Philosopher"|"Ambient"
"Quaerite Lux In Tenebris (Exploring the External Worlds)"|"Thrash"
"Imperium Tenebrarum"|"Thrash"
"The Queen of the Elves' Land"|"Black Metal"
"...And the Flame Will Take the Temples of Christ"|"Black Metal"
"No Cure for Death"|"Experimental"
"Curse of the Angeleye"|"Thrash Metal"
"Lunacy Divine"|"Thrash Metal"
"Bringer of Revenge"|"Thrash Metal"
"The Leaden Ghost"|"Death Metal"
"Nihil Euphoria"|"Death Metal"
"Water Awakes"|"Death Metal"
"Metal Bear Stomp"|"Thrash Metal"
"Siberian Meat Grinder"|"Thrash Metal"
"Immortalia"|"Power Metal"
"Twilight Opera"|"Power Metal"
"Horrors from Depth - EP"|"Death Metal"
"A Social Berserker"|"Death Metal"
"Silent Veil of My Doom"|"Doom Metal"
"Moving Crosscurrent of Time"|"Doom Metal"
"Treelogia (The Album as It Is Not)"|"Doom Metal"
"The Wind, The Trees and the Shadows of the Past"|"Doom Metal"
"Comedy Is Over"|"Death Metal"
"Determination"|"Death Metal"
"Archetype of Chaos"|"Death Metal"
"Daimonion"|"Death Metal"
"Wings of Antichrist"|"Ambient"
"Illuminance"|"Atmospheric Black Metal"
"Through the Eyes of a Mad"|"Death Metal"
"Glad to Be Dead"|"Death Metal"
"Cold Dismay"|"Black Metal"
"The Seventh Dimension"|"Doom"
"PriŽ?e O ?«ivotu"|"Power Metal"
"Secret Spheres of Art"|"Power Metal"
"PriŽ?e O Vremenu"|"Power Metal"
"Elegia Balcanica"|"Power Metal"
"Don't Wait Up"|"Death Metal"
"Give Blood"|"Death Metal"
"It All Comes Down to This"|"Death Metal"
"The Note"|"Death Metal"
"Holding This Moment"|"Death Metal"
"Metus Mortis"|"Crust Punk"
"Soul Temptation"|"Crust Punk"
"Scary Creatures"|"Crust Punk"
"Ambiguity"|"Crust Punk"
"Downburst"|"Crust Punk"
"Firesoul"|"Crust Punk"
"Liquid Monster"|"Crust Punk"
"Memorial Roots"|"Crust Punk"
"On the Spur of the Moment"|"Crust Punk"
"From Always"|"Metal"
"Aurora"|"Metal"
"Soul Revolution"|"Power Metal"
"Extreme Bizarre Seduction"|"Doom Metal"
"Destroying the Symbols of Lies"|"Doom Metal"
"The Dance of the Satan's Bitch (Intro)"|"Doom Metal"
"Some Wounds Bleed Forever"|"Death Metal"
"Fragile Monuments"|"Gothic Metal"
"Perdition Calls"|"Gothic Metal"
"Ghostlands"|"Folk Metal"
"Brahmavidya: Immortal I"|"Death Metal"
"Rudra Rudra"|"Death Metal"
"The Aryan Crusade"|"Death Metal"
"Kurukshetra"|"Death Metal"
"Nocturnal Poisoning"|"Thrash Metal"
"Subliminal Genocide"|"Thrash Metal"
"A Gate Through Bloodstained Mirrors"|"Thrash Metal"
"Telepathic With the Deceased"|"Thrash Metal"
"Portal of Sorrow"|"Thrash Metal"
"Suicide in Dark Serenity (2004)"|"Thrash Metal"
"Letters from the Dark"|"Death"
"Kill for Pleasure"|"Death Metal"
"Chopping Block Blues"|"Death Metal"
"Face Fate - EP"|"Death Metal"
"Our Ruin Silhouettes"|"Doom Metal"
"Anna"|"Doom Metal"
"The Ancient Path"|"Doom Metal"
"In My Own Abyss"|"Doom Metal"
"Wrath Monolith"|"Doom Metal"
"A Winter Solstice Eve"|"Black"
"World Under World"|"Doom Metal"
"From Ashes & Dust"|"Doom Metal"
"Empire of Emptiness (Intro)"|"Doom Metal"
"Empty Mirrors of Oblivion 1995-1999"|"Doom Metal"
"Vlnobytie"|"Death"
"Abandoned In the Forest of Weariness (The Call of Fairie)"|"Doom Metal"
"Reginae Mysterium"|"Doom"
"The Eyes of Power"|"Power Metal"
"Signum Regis"|"Power Metal"
"The Seal of a New World"|"Power Metal"
"Exodus"|"Power Metal"
"Through the Storm - EP"|"Power Metal"
"Chapter IV: The Reckoning"|"Power Metal"
"Tales of the Woods... Thus Was Written"|"Gothic Metal"
"Four Elements Mysterium"|"Gothic Metal"
"Barriers"|"Technical Death Metal with Jazz influences"
"Hopes and Fears"|"Heavy Metal"
"Death Culture"|"Symphonic Black"
"Per Aspera"|"Symphonic Black"
"Finis Omnium Ignorantiam"|"Deathcore"
"Psychosadistic Design"|"Deathcore"
"Cognizant Castigation"|"Deathcore"
"Our Bleeding Sun (Import)"|"Death"
"Ang‚lique"|"Symphonic Metal"
"Perception of Reality"|"Progressive Metal"
"Aut¢ctono"|"Folk Metal"
"Camino al Destino"|"Folk Metal"
"En Tierra Firme"|"Folk Metal"
"A Step Through the Reflection"|"Black"
"Ars Subtilior from Within the Cage"|"Black"
"Red Shift"|"Doom Metal"
"Las Ruinas del Ed‚n"|"Progressive Metal"
"Los Poetas Han Muerto"|"Progressive Metal"
"Llanto de un H‚roe"|"Progressive Metal"
"Mother Earth"|"Progressive Metal"
"El Hijo Pr¢digo - Special Edition"|"Progressive Metal"
"El Óngel Ca¡do"|"Progressive Metal"
"La Llama Eterna"|"Progressive Metal"
"Muerte y Vida"|"Progressive Metal"
"El Ladr¢n De SueÓos"|"Progressive Metal"
"Darna Darna"|"Power Metal"
"Argia"|"Gothic Metal"
"Secrets"|"Gothic Metal"
"Dirge for the Archons"|"Gothic Metal"
"The Wanderer"|"Gothic Metal"
"L'elisir D'more (The Elixir of Love) (Sung in English), Act II, Scene 10: Aria and Finale: It Will Give You Cheeks Like Peaches (Dulcamara, Villagers, Adina, Nemorino, Belcore)"|"Metalcore"
"Asylum"|"Metalcore"
"When the City Is Quiet"|"Progressive Metal"
"Decoder"|"Progressive Metal"
"Dance the Marble Naked"|"Gothic Metal"
"The Shortest Way"|"Death Metal"
"Enter the Grave"|"Groove Metal"
"Skull"|"Groove Metal"
"Five Serpent's Teeth"|"Groove Metal"
"Infected Nations"|"Groove Metal"
"Alices Inferno"|"Gothic Metal"
"Sentencia Divina"|"Hard Rock"
"Goodbye To the Gallows"|"Thrash Metal"
"Orchestra of Wolves"|"Thrash Metal"
"Grey Britain"|"Thrash Metal"
"Desolation Sounds"|"Thrash Metal"
"Mar De Cuernos"|"Speed Metal"
"MXCII"|"Death Metal"
"Horror Rises from the Tomb"|"Grindcore"
"Sempiternal Death Grind"|"Grindcore"
"Tchaikovsky: 1812 Overture, Marche Slave, Romeo and Juliet, Capriccio Italien, Hamlet (Expanded Edition)"|"Nu-Metal"
"Pura Vida"|"Nu-Metal"
"La Puta y el Diablo"|"Nu-Metal"
"Amnesia"|"Nu-Metal"
"Syberia"|"Nu-Metal"
"Sanatorio de MuÓecos"|"Nu-Metal"
"El Inferno"|"Nu-Metal"
"Revoluci¢n 12.111"|"Nu-Metal"
"Insomnio"|"Nu-Metal"
"Breed the Chosen One"|"Doom"
"Summoning Deliverance"|"Doom"
"Grengus"|"Doom"
"Weight of Coronation"|"Doom"
"Again Came the Storm"|"Power Metal"
"Inner Storm"|"Power Metal"
"Amalur"|"Pagan"
"Beer Bloodbath"|"Pagan"
"Elderslied"|"Pagan"
"Fimbulwinter"|"Pagan"
"Introvision"|"Metalcore"
"Eterno Treblinka"|"Death Metal"
"Esta Noche Manda Mi Polla - EP"|"Heavy Metal"
"Cuentos Para Mayores"|"Heavy Metal"
"Sin Parar De Pecar"|"Heavy Metal"
"El Poder Del Deseo"|"Heavy Metal"
"Enemigos de la Castidad"|"Heavy Metal"
"Rep£blica Popular del Coito"|"Heavy Metal"
"Licantrofilia"|"Heavy Metal"
"Jes£s de Chamber¡"|"Hard Rock"
"Gaia III: Atlantia"|"Hard Rock"
"Hechizos, P¢cimas y Brujer¡a"|"Hard Rock"
"Folktergeist"|"Hard Rock"
"Ilussia"|"Hard Rock"
"Resacosix en Hispania"|"Hard Rock"
"Finisterra"|"Hard Rock"
"Belfast"|"Hard Rock"
"Finisterra Ópera Rock"|"Hard Rock"
"Gaia"|"Hard Rock"
"Untold Wait"|"Death Metal"
"Asylum"|"Death Metal"
"The Second Philosophy"|"Progressive Death Metal"
"A New Constellation"|"Progressive Death Metal"
"The Shining Harmony of Universe"|"Gothic Metal"
"Silvery Moonbeams"|"Gothic Metal"
"The Black Consecration"|"Death"
"Haeresis"|"Death"
"Oblivion"|"Death"
"Divinity"|"Death"
"Exilium"|"Death"
"Downfall and Rebirth"|"Melodic Death Metal"
"The Clouds of Northland Thunder"|"Melodic Death Metal"
"El Que Mas"|"Hard Rock"
"Preparate"|"Hard Rock"
"C llate!"|"Hard Rock"
"Segundos fuera"|"Hard Rock"
"Otra Vez en la Ruta"|"Hard Rock"
"Desde el Fondo del Abismo"|"Hard Rock"
"A Year with No Summer"|"Death Metal"
"Seeds of Devastation"|"Death Metal"
"Tides of Blood"|"Folk Metal"
"El Fin de los Tiempos"|"Power Metal"
"SueÓos y Locura"|"Power Metal"
"Hijos del Despertar"|"Power Metal"
"Cenizas"|"Power Metal"
"Once Romances Desde Al-Andalus (Official)"|"Folk Metal"
"JuglarMetal (Official)"|"Folk Metal"
"Vida"|"Folk Metal"
"Maryam (Official)"|"Folk Metal"
"SueÓos"|"Folk Metal"
"Ave Fenix"|"Speed Metal"
"L grimas de Sangre"|"Speed Metal"
"Land of the Grim"|"Thrash Metal"
"Requiem for a Dead Planet"|"Death Metal"
"Seven Chalices"|"Black Metal"
"Legendario"|"Heavy Metal"
"Indomable"|"Heavy Metal"
"Tierras de Leyenda"|"Heavy Metal"
"Mejor Morir En Pie"|"Heavy Metal"
"Caminos de Fuego"|"Heavy Metal"
"Mi Nombre Ser  Leyenda"|"Heavy Metal"
"Sangre de Reyes"|"Heavy Metal"
"Apocalipsis"|"Heavy Metal"
"Quinto Elemento"|"Heavy Metal"
"Medieval"|"Heavy Metal"
"Endins"|"Death Metal"
"In the Dusk of Men"|"Heavy"
"Back from the Shadows"|"Heavy"
"Calles de Fuego - EP"|"Power Metal"
"La Noche del Pecado - EP"|"Power Metal"
"A Coming Storm"|"Thrash Metal"
"Kings Will Fall"|"Thrash Metal"
"Cube of Infinity"|"Thrash Metal"
"Exodromos"|"Technical Death Metal"
"Krighsu"|"Technical Death Metal"
"Floating Cadaver in the Monochrome (Demo)"|"Technical Death Metal"
"Into Forever"|"Power Metal"
"The Weight of the World"|"Power Metal"
"Tills Döden Skiljer Oss Ót"|"Black Metal"
"Host of the Winged"|"Post-Metal"
"Rites of Separation"|"Post-Metal"
"Atonement Is Nigh"|"Progressive Death Metal"
"God Has a Plan for Us All"|"Gothic Metal"
"Eufori MMXVIII"|"Depressive Rock"
"Morgondagen Inst„lld I Brist Pö Intresse"|"Depressive Rock"
"Standards of Triumph"|"Ambient"
"Verisimilitude & the Second Estate"|"Metalcore"
"Reflection"|"Deathcore"
"Rat King"|"Deathcore"
"Requiem of Time"|"Power Metal"
"Evil Is Forever"|"Power Metal"
"Of the Son and the Father"|"Power Metal"
"New Revelation"|"Power Metal"
"Astralism"|"Power Metal"
"Jerusalem"|"Power Metal"
"Notes from the Shadows (Bonus Track Version)"|"Power Metal"
"Nordland II"|"Viking Metal"
"Blood On Ice"|"Viking Metal"
"Blood Fire Death"|"Viking Metal"
"Bathory"|"Viking Metal"
"The Return of the Darkness and Evil"|"Viking Metal"
"Requiem"|"Viking Metal"
"Under the Sign of the Black Mark"|"Viking Metal"
"Nordland I"|"Viking Metal"
"Twilight of the Gods"|"Viking Metal"
"Destroyer of Worlds"|"Viking Metal"
"Hammerheart"|"Viking Metal"
"Of Battle and Ancient Warcraft"|"Black Metal"
"Slaying the Life"|"Thrash Metal"
"Gospel of the insane"|"Thrash Metal"
"Diabolical Desecration Encyclopedia of Evil"|"Thrash"
"At the Gates of Hell"|"Thrash"
"Spiritual Warfare"|"Thrash"
"Pentagram Prayer"|"Thrash"
"Rise of the Antichrist"|"Thrash"
"The Black Swan Epilogue"|"Thrash Metal"
"Tabula Rasa"|"Power Metal"
"War of Dragons"|"Power Metal"
"Unholy Cross"|"Power Metal"
"Rise of the Dragon Empire"|"Power Metal"
"Book of the Dead"|"Power Metal"
"Nosferatu"|"Power Metal"
"In the Name of Metal"|"Power Metal"
"Stormborn"|"Power Metal"
"Execution"|"Hard Rock"
"No Mercy"|"Hard Rock"
"Preludes and Nocturnes"|"Thrash Metal"
"Testify For My Victims"|"Thrash Metal"
"Firedemon"|"Thrash Metal"
"The More You Suffer"|"Thrash Metal"
"Please Die!"|"Thrash Metal"
"Aren't You Dead Yet?"|"Thrash Metal"
"When All Else Fails - Single"|"Thrash Metal"
"An Evil Shade of Grey"|"Death Metal"
"Last Confessions"|"Death Metal"
"Godless Beauty"|"Death Metal"
"Black Vanity"|"Death Metal"
"Sundown"|"Death Metal"
"Phantasma"|"Death Metal"
"The Book of Truth"|"Melodic Death Metal"
"The Carpet"|"Melodic Death Metal"
"Of Man and Machine"|"Groove Metal"
"Gods & Generals"|"Power Metal"
"The Last Full Measure"|"Power Metal"
"The Killer Angels"|"Power Metal"
"Civil War"|"Power Metal"
"The Invalid"|"Doom Metal"
"Crimson Skies"|"Power Metal"
"New Era"|"Power Metal"
"Global Drama"|"Power Metal"
"Cloudscape"|"Power Metal"
"Condition Red"|"Metal"
"Violadead (Bonus Track Version)"|"Thrash Metal"
"Time Machine - EP"|"Thrash Metal"
"World Decay"|"Thrash Metal"
"Observations"|"Thrash Metal"
"Perfection In Pain"|"Thrash Metal"
"The Savage Playground"|"Glam Rock"
"Generation Wild"|"Glam Rock"
"In Depths of Dreams Unconscious - EP"|"Death Metal"
"Eternal Emperor"|"Death Metal"
"The Covenant Progress"|"Death Metal"
"Veil of Remembrance"|"Death Metal"
"Divine Darkness"|"Death Metal"
"'Til Death Do Us Party"|"Hard Rock"
"In Distortion We Trust"|"Hard Rock"
"In the Red"|"Hard Rock"
"The Midnight Chase"|"Hard Rock"
"Somewhere Along the Highway"|"Progressive Metal"
"The Beyond"|"Progressive Metal"
"Vertikal"|"Progressive Metal"
"Eternal Kingdom"|"Progressive Metal"
"Salvation"|"Progressive Metal"
"A Dawn to Fear"|"Progressive Metal"
"Layers of Lies"|"Thrash Metal"
"Demonic Art"|"Thrash Metal"
"The Sinister Supremacy"|"Thrash Metal"
"Rusted Angel (Bonus Version)"|"Thrash Metal"
"Human"|"Progressive Metal"
"Calling the Earth to Witness"|"Progressive Metal"
"Where Stories End"|"Progressive Metal"
"Entombed in the Midnight Hour"|"Death Metal"
"Violence Blasphemy Sodomy"|"Black Metal"
"Domination"|"Doom Metal"
"My Shadow..."|"Black Metal"
"Under the Blade"|"Death Metal"
"Out of Body Experience"|"Thrash Metal"
"Til Death Do Us Apart"|"Thrash Metal"
"The Monster Within"|"Thrash Metal"
"A World Destroyer"|"Thrash Metal"
"Ninewinged Serpent"|"Death"
"God to the Ill-Fated"|"Death"
"Dawn of Corruption - EP"|"Folk Metal"
"Tyrannotophia"|"Folk Metal"
"Aeternum Vale"|"Death Metal"
"Earthless"|"Death Metal"
"Dead Words Speak"|"Death Metal"
"Beyond Colossal"|"Metal"
"Call It Conspiracy"|"Metal"
"In the Tail of a Comet"|"Metal"
"Through the Eyes of Heathens"|"Metal"
"United"|"Power Metal"
"Dragonslayer"|"Power Metal"
"Heavy Metal In the Night"|"Power Metal"
"Six"|"Power Metal"
"Evilized"|"Power Metal"
"The Book of Heavy Metal (March of the Metallians)"|"Power Metal"
"Titanic Mass"|"Hard Rock"
"Tortura Insomniae"|"Thrash Metal"
"Evil as Hell"|"Thrash Metal"
"A Handful of Nothing"|"Thrash Metal"
"Underlying Issues"|"Thrash Metal"
"Tasting the Tears"|"Thrash Metal"
"Neighbourhell"|"Thrash Metal"
"Blackenday"|"Thrash Metal"
"Headquake"|"Thrash Metal"
"Reverse"|"Thrash Metal"
"Portrait of the Abyss Within"|"Thrash Metal"
"El NiÓo"|"Thrash Metal"
"Witches - Salem (1692 vs 2001)"|"Black Metal"
"Clandestine"|"Death 'n' Roll"
"Crawl"|"Death 'n' Roll"
"Hollowman"|"Death 'n' Roll"
"Wolverine Blues"|"Death 'n' Roll"
"Out of Hand"|"Death 'n' Roll"
"Serpent Saints - the Ten Amendments"|"Death 'n' Roll"
"When in Sodom EP"|"Death 'n' Roll"
"Entombed"|"Death 'n' Roll"
"But Life Goes On"|"Death 'n' Roll"
"Left Hand Path"|"Death 'n' Roll"
"Back to the Front"|"Death 'n' Roll"
"Dead Dawn"|"Death 'n' Roll"
"Nattramn"|"Viking Metal"
"The End"|"Viking Metal"
"Gastrike"|"Viking Metal"
"By Honour"|"Viking Metal"
"Fire Meets Ice"|"Viking Metal"
"The Dark Discovery"|"Power Metal"
"Glorious Collision (Remasters Edition)"|"Power Metal"
"Torn (Remasters Edition)"|"Power Metal"
"Monday Morning Apocalypse (Remasters Edition)"|"Power Metal"
"The Storm Within (Bonus Edition)"|"Power Metal"
"Solitude, Dominance, Tragedy (Remasters Edition)"|"Power Metal"
"The Atlantic"|"Power Metal"
"The Inner Circle (Remasters Edition)"|"Power Metal"
"Hymns for the Broken (International Version)"|"Power Metal"
"In Search of Truth (Remasters Edition)"|"Power Metal"
"Recreation Day (Remasters Edition)"|"Power Metal"
"Dead, Rotten and Hungry"|"Death Metal"
"Bloodred Hell"|"Death Metal"
"Dedicated to the Flesh"|"Death Metal"
"Infected"|"Death Metal"
"In Shadows Lies Utopia"|"Thrash Metal"
"Archgod"|"Thrash Metal"
"Black Mirrors Reflection"|"Thrash Metal"
"The Second Reflection - EP"|"Thrash Metal"
"Falconer"|"Power Metal"
"Chapters from a Vale Forlorn"|"Power Metal"
"Northwind"|"Power Metal"
"Among Beggars and Thieves"|"Power Metal"
"The Sceptre of Deception"|"Power Metal"
"Armod"|"Power Metal"
"Black Moon Rising"|"Power Metal"
"Grime vs. Grandeur"|"Power Metal"
"Gryende Tidevarv"|"Viking Metal"
"Niddikter"|"Viking Metal"
"Crater"|"Death Metal"
"Departure"|"Death Metal"
"Where Dreams Turn to Dust - EP"|"Death Metal"
"Six Waves of Woe"|"Death Metal"
"King of the Sidewalk"|"Thrash Metal"
"Decibel Rebel"|"Thrash Metal"
"Metal Police"|"Thrash Metal"
"Brilliant Loud Overlords of Destruction"|"Thrash Metal"
"Hardrocker"|"Thrash Metal"
"Necrology"|"Goregrind"
"Left Hand Pathology"|"Goregrind"
"Eon Eschatos"|"Black Metal"
"Triumph and Power"|"Doom Metal"
"The Hunt"|"Doom Metal"
"Monument"|"Doom Metal"
"Wolf's Return"|"Doom Metal"
"Iron Will"|"Doom Metal"
"Come to Grief"|"Doom Metal"
"Dismal"|"Doom Metal"
"Nightspawn"|"Black Metal"
"The Devils Deep"|"Black Metal"
"Christian Termination"|"Black Metal"
"Malformed Seed"|"Black Metal"
"De Kom Frön Norr - EP"|"Viking Metal"
"F„rd"|"Viking Metal"
"Blodshymner"|"Viking Metal"
"Frost Mot Eld"|"Viking Metal"
"Crimson Thunder"|"Power Metal"
"No Sacrifice, No Victory"|"Power Metal"
"Infected"|"Power Metal"
"I Want Out - Single"|"Power Metal"
"Threshold"|"Power Metal"
"Legacy of Kings"|"Power Metal"
"Dominion"|"Power Metal"
"Built To Last"|"Power Metal"
"Renegade"|"Power Metal"
"Glory to the Brave"|"Power Metal"
"Steel Meets Steel: 10 Years of Glory"|"Power Metal"
"Chapter V: Unbent, Unbowed, Unbroken"|"Power Metal"
"(R)Evolution"|"Power Metal"
"Dejavoodoo"|"Speed Metal"
"Veins"|"Rock"
"Köld"|"Rock"
"Rakbladsvalsen"|"Rock"
"Grötoner I"|"Rock"
"The Killer"|"Death Metal"
"Hellucinate"|"Death Metal"
"Holy Murder Masquerade"|"Death Metal"
"Siren Charms"|"Alternative Rock"
"Lunar Strain"|"Alternative Rock"
"Come Clarity"|"Alternative Rock"
"Battles"|"Alternative Rock"
"Clayman (20th Anniversary Edition)"|"Alternative Rock"
"A Sense of Purpose"|"Alternative Rock"
"Colony"|"Alternative Rock"
"The Tokyo Showdown (Live in Japan 2000)"|"Alternative Rock"
"Soundtrack to Your Escape"|"Alternative Rock"
"Subterranean - EP"|"Alternative Rock"
"Sounds of a Playground Fading"|"Alternative Rock"
"Whoracle"|"Alternative Rock"
"Reroute to Remain"|"Alternative Rock"
"Trigger"|"Alternative Rock"
"In Your Mask I See a Better Person"|"Doom Metal"
"Monolith"|"Progressive Melodic Death Metal"
"The Weight of Oceans (US Version)"|"Progressive Melodic Death Metal"
"Shrouded Divine"|"Progressive Melodic Death Metal"
"Garden of Storms"|"Progressive Melodic Death Metal"
"Afterglow"|"Progressive Melodic Death Metal"
"Black Waters Deep"|"Black Metal"
"Dead To Dust Descend"|"Black Metal"
"Machinegunnery of Doom"|"Death Metal"
"The Last Viking"|"Blues"
"Killaman"|"Thrash Metal"
"Fi'mbulvintr"|"Viking Metal"
"Karg"|"Viking Metal"
"...To North"|"Viking Metal"
"Taudr"|"Viking Metal"
"Sole Creation"|"Doom Metal"
"The Ritual"|"Progressive Metal"
"The Uncrowned"|"Progressive Metal"
"Witch Dance"|"Progressive Metal"
"Symphony of the Damned"|"Thrash"
"Sjukdom"|"Depressive Rock"
"Dekadens"|"Depressive Rock"
"Erotik"|"Depressive Rock"
"Pulver"|"Depressive Rock"
"Konkurs"|"Depressive Rock"
"Mönegarm"|"Black"
"Havets vargar (Re-Mastered)"|"Black"
"Nordstj„rnans tidsölder (Re-Mastered)"|"Black"
"Vargstenen"|"Black"
"Legions of the North"|"Black"
"Nattv„sen"|"Black"
"Urminnes h„vd - The Forest Sessions"|"Black"
"Vredens tid"|"Black"
"Dödsf„rd"|"Black"
"Murder Metal (Remastered)"|"Thrash Metal"
"Behind the Wall of Sleep - EP"|"Thrash Metal"
"Dahmer (Remastered)"|"Thrash Metal"
"Sinister Slaughter (Remastered)"|"Thrash Metal"
"Grim Scary Tales (Remastered)"|"Thrash Metal"
"Gloom"|"Thrash Metal"
"Grim Reality (Remastered)"|"Thrash Metal"
"Phantom Shadow"|"Power Metal with Electronic Influences"
"Deus Ex Machinae"|"Power Metal with Electronic Influences"
"Into the Night World"|"Power Metal with Electronic Influences"
"A View from the End of the World"|"Power Metal with Electronic Influences"
"Rise of a Digital Nation"|"Power Metal with Electronic Influences"
"Overworld"|"Power Metal with Electronic Influences"
"Beyond the Moon"|"Power Metal with Progressive influences"
"Fornjot"|"Doom Metal"
"Mirage"|"Doom Metal"
"Tides (Re-release)"|"Doom Metal"
"Carnage Carnival"|"Doom Metal"
"Verdict of Posterity"|"Doom Metal"
"Doomain"|"Doom Metal"
"Time To Expect Forever"|"Doom Metal"
"Extreme Unction"|"Thrash Metal"
"Contradictions Collapse - Reloaded"|"Thrash Metal"
"The Violent Sleep of Reason"|"Thrash Metal"
"None"|"Thrash Metal"
"Obzen"|"Thrash Metal"
"Pitch Black"|"Thrash Metal"
"Chaosphere"|"Thrash Metal"
"Destroy Erase Improve"|"Thrash Metal"
"I Am Colossus"|"Thrash Metal"
"Koloss"|"Thrash Metal"
"Nothing"|"Thrash Metal"
"Tragedy Has Spoken"|"Death Metal"
"The Mirroring Shadow"|"Death Metal"
"Your Vision Was Never Mine To Share"|"Thrash"
"The Aftermath"|"Progressive Death Metal"
"Tales From The Grave"|"Progressive Death Metal"
"Gathered Around the Oaken Table"|"Black Metal"
"In the Sign of the Raven"|"Black Metal"
"King of the Distant Forest"|"Black Metal"
"Empress Rising"|"Doom Metal"
"V‘nir"|"Doom Metal"
"Rust"|"Doom Metal"
"Echoes of a Nightmare"|"Progressive Power Metal"
"Silent Waters"|"Progressive Power Metal"
"A Saunter Through the Shroud - Single"|"Progressive Death Metal"
"Sweven"|"Progressive Death Metal"
"Sleepers In the Rift"|"Progressive Death Metal"
"Sanctified"|"Thrash"
"Maleficium"|"Thrash"
"Knowing Just As I"|"Thrash"
"Symphony of the Damned"|"Thrash"
"Past Present Future (Remastered)"|"Thrash"
"Aberrations of the Mind"|"Thrash"
"Over and Over Again"|"Thrash"
"Grand Materia"|"Thrash"
"Fata Morgana"|"Thrash"
"The Secret Doctrine"|"Thrash"
"Sounds Like Hell, Looks Like Heaven"|"Stoner Metal"
"Above All"|"Stoner Metal"
"Powerhouse"|"Stoner Metal"
"Thank You for the Demon"|"Stoner Metal"
"The True Sound of the New West - EP"|"Stoner Metal"
"Latest Version of the Truth"|"Stoner Metal"
"Testosterone"|"Stoner Metal"
"Ratsafari"|"Stoner Metal"
"Parasite! - EP"|"Stoner Metal"
"Necrology"|"Death Metal"
"Unleash - Extended & Remastered"|"Death Metal"
"Long Live the King"|"Power Metal"
"Awakening"|"Power Metal"
"Course of a Generation"|"Power Metal"
"The Chronicles of Narnia: Prince Caspian (An Original Walt Disney Records Soundtrack)"|"Power Metal"
"Enter the Gate"|"Power Metal"
"Desert Land"|"Power Metal"
"From Darkness to Light"|"Power Metal"
"Född att h„rska"|"Viking"
"N„r Solen Slocknar"|"Viking"
"Fylgja"|"Viking"
"Will O' Wisp"|"Thrash"
"Pure Black Disease"|"Death Metal"
"Monument Black Colossal"|"Melodic Black Metal"
"Abysmal Allure - EP"|"Melodic Black Metal"
